question,condition,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean
Sie fördert und fordert ihn nachdrück- und zärtlich.,U 4.2,participant_2,2.0,Juni,2.633333333,-0.6333333329999999
Schottergärten sind häss- und grässlich.,U 4'.3,participant_2,3.0,Juni,2.633333333,0.36666666700000006
Auf allen Konzerten spielt die Band fehlerfrei.,F,participant_3,7.0,Juli,3.733333333,3.266666667
Wo hat die Feuerwehr welches Haus gelöscht?,F,participant_3,7.0,Juli,3.733333333,3.266666667
Du hast der Frau sich selbst als Beraterin vorgeschlagen.,F,participant_3,3.0,Juli,3.733333333,-0.733333333
Der Lehrer hat den Schülern es nachgetragen.,F,participant_3,3.0,Juli,3.733333333,-0.733333333
"Die Firma sagt er, dass die Bestellung vergessen oder verloren hat.",F,participant_3,2.0,Juli,3.733333333,-1.733333333
Die Gruppe wurde hinter beschuldigt.,F,participant_3,1.0,Juli,3.733333333,-2.733333333
Allen war die Dumm- und Feigheit ihrer Entscheidung klar.,H 1.7,participant_3,7.0,Juli,3.733333333,3.266666667
Viele streben innere Zufrieden- und Gelassenheit an.,H 1'.8,participant_3,5.0,Juli,3.733333333,1.266666667
Sie strahlen Vergangen- und Erhabenheit aus.,H 4.1,participant_3,3.0,Juli,3.733333333,-0.733333333
Das Hotel bietet Abgeschieden- und Gelegenheit zum Entspannen.,H 4'.2,participant_3,2.0,Juli,3.733333333,-1.733333333
Das Hotel erfüllte ihre Erwartungen und überzeugte vor allem durch Sauber- und Gemütlichkeit.,K 2.1,participant_3,3.0,Juli,3.733333333,-0.733333333
Fachleute waren sich uneinig über die Wahrscheinlich- und Möglichkeit eines Wahlsieges.,K 2'.2,participant_3,5.0,Juli,3.733333333,1.266666667
Die Erkenntnis über seine Eitel- und Gleichgültigkeit kam aber zu spät.,K 5.3,participant_3,6.0,Juli,3.733333333,2.266666667
Das ist seine Art von Wohltätig- und Öffentlichkeit.,K 5'.4,participant_3,4.0,Juli,3.733333333,0.26666666699999997
Die Probleme sind vor allem zeit- und rechtlicher Natur.,L 2.1,participant_3,7.0,Juli,3.733333333,3.266666667
Die Landschaft dort ist herr- und friedlich.,L 2'.2,participant_3,3.0,Juli,3.733333333,-0.733333333
weil er nied- und behilflich ist.,L 5.3,participant_3,2.0,Juli,3.733333333,-1.733333333
Das war augenblick- und schließlich das Ende.,L 5'.4,participant_3,2.0,Juli,3.733333333,-1.733333333
Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,Mis 3.3,participant_3,5.0,Juli,3.733333333,1.266666667
Der Papst erfreut sich großer Herrlich- und Berühmtheit.,Mis 3'.4,participant_3,3.0,Juli,3.733333333,-0.733333333
Sie schwören einander Kühn- und Brüderlichkeit.,Mis 6.5,participant_3,1.0,Juli,3.733333333,-2.733333333
Die Oma hat viel Zärtlich- und Weisheit für ihre Enkel.,Mis 6'.6,participant_3,2.0,Juli,3.733333333,-1.733333333
Bischöfe bestimmten die gött- und weltliche Ordnung.,Mix 3.3,participant_3,4.0,Juli,3.733333333,0.26666666699999997
Oft ist mit dem mensch- und männlichen Körper ein und das Selbe gemeint.,Mix 3'.4,participant_3,4.0,Juli,3.733333333,0.26666666699999997
Ihre Worte waren ähn- und deutlich.,Mix 6.5,participant_3,2.0,Juli,3.733333333,-1.733333333
Die Arbeitsleistung ist ordent- und gewöhnlich.,Mix 6'.6,participant_3,2.0,Juli,3.733333333,-1.733333333
In der Gegend ist es länd- und eigentümlich.,U 1.7,participant_3,5.0,Juli,3.733333333,1.266666667
In diesem Zustand ist die Deutsche Bahn leider weder nütz- noch pünktlich.,U 1'.8,participant_3,4.0,Juli,3.733333333,0.26666666699999997
Es schmeckt köst- und vorzüglich.,U 4.1,participant_3,4.0,Juli,3.733333333,0.26666666699999997
Sie fördert und fordert ihn zärt- und nachdrücklich.,U 4'.2,participant_3,4.0,Juli,3.733333333,0.26666666699999997
Der Kaiser hat dem Fürsten den berühmten und begabten Maler empfohlen.,F,participant_4,2.0,Februar,3.65625,-1.65625
"Im Einkaufszentrum meint sie, hat der Ladenbesitzer den eleganten und gut geführten Laden geschlossen.",F,participant_4,4.0,Februar,3.65625,0.34375
Die Bergführer haben einander ihn als kompetenten und zuverlässigen Begleiter empfohlen.,F,participant_4,2.0,Februar,3.65625,-1.65625
Beim Stammtisch die drei Freunde spielen mit Vorliebe Skat und Würfeln.,F,participant_4,4.0,Februar,3.65625,0.34375
Die Suppe wurde gegen versalzen.,F,participant_4,1.0,Februar,3.65625,-2.65625
Der Patient hat den geldgierigen und unprofessionellen Zahnarzt überlistet.,F,participant_4,6.0,Februar,3.65625,2.34375
Das ist die Verrückt- und Besonderheit ihrer Herangehensweise.,H 1.5,participant_4,3.0,Februar,3.65625,-0.65625
Die Klar- und Einfachheit der Lösung erstaunte alle.,H 1'.1,participant_4,4.0,Februar,3.65625,0.34375
Eigenschaften wie Lüstern- und Verderbtheit sind absolut unpassend.,H 4.6,participant_4,2.0,Februar,3.65625,-1.65625
Der Richter vermittelt mit Rechtschaffen- und Besonnenheit.,H 4'.7,participant_4,3.0,Februar,3.65625,-0.65625
Fachleute waren sich uneinig über die Möglich- und Wahrscheinlichkeit eines Wahlsieges.,K 2.2,participant_4,6.0,Februar,3.65625,2.34375
Den Redakteur würde ein Mangel an Aufrichtig- und Aufmerksamkeit am meisten stören.,K 2'.3,participant_4,6.0,Februar,3.65625,2.34375
Für eine Sekunde war der Zauber von Unsterblich- und Unendlichkeit zu spüren.,K 5.8,participant_4,4.0,Februar,3.65625,0.34375
Der Autounfall ist auf Unzurechnungsfähig- und Fahrlässigkeit zurückzuführen.,K 5'.1,participant_4,3.0,Februar,3.65625,-0.65625
Die Landschaft dort ist fried- und herrlich.,L 2.2,participant_4,6.0,Februar,3.65625,2.34375
Das Lachen ist herz- und kindlich.,L 2'.3,participant_4,7.0,Februar,3.65625,3.34375
Selbst für erfahrene Rettungskräfte war der Anblick entsetz- und sonderlich.,L 5.8,participant_4,3.0,Februar,3.65625,-0.65625
Die Neuigkeiten sind für sie gleichzeitig bedroh- und erfreulich.,L 5'.1,participant_4,2.0,Februar,3.65625,-1.65625
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,Mis 3.4,participant_4,5.0,Februar,3.65625,1.34375
Die Welthungerhilfe betont die Notwendig- und Knappheit von Lebensmitteln.,Mis 3'.5,participant_4,6.0,Februar,3.65625,2.34375
Für Kinder sind Geborgen- und Unabhängigkeit wichtig.,Mis 6.2,participant_4,4.0,Februar,3.65625,0.34375
Die Autorin wirkte sehr sympathisch durch ihre Liebenswürdig- und Bescheidenheit.,Mis 6'.3,participant_4,2.0,Februar,3.65625,-1.65625
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,Mix 3.4,participant_4,3.0,Februar,3.65625,-0.65625
Im Kindergarten wird alles schwester- und brüderlich geteilt.,Mix 3'.5,participant_4,6.0,Februar,3.65625,2.34375
Mutproben sind gefähr- und schrecklich.,Mix 6.2,participant_4,3.0,Februar,3.65625,-0.65625
Sie hat aber wirk- und tatsächlich mehr verlangt.,Mix 6'.3,participant_4,2.0,Februar,3.65625,-1.65625
Sie ist eher so der häus- und ängstliche Typ.,U 1.4,participant_4,2.0,Februar,3.65625,-1.65625
Die Lieder sind fröh- und tröstlich.,U 1'.1,participant_4,6.0,Februar,3.65625,2.34375
Die Bank will buchstäb- und zusätzlich hundert tausend Euro.,U 4.6,participant_4,1.0,Februar,3.65625,-2.65625
Eine Zeitung ist ein auf die Gegenwart alltäg- und bezügliches Medium.,U 4'.7,participant_4,4.0,Februar,3.65625,0.34375
Nudeln sind der neue Reis.,Deutsch_test_2,participant_4,4.0,Februar,3.65625,0.34375
Reis ist die neuen Nudeln.,Deutsch_test_3,participant_4,1.0,Februar,3.65625,-2.65625
"Der Zuschauer denkt er, dass die Sendung angeguckt hat.",F,participant_5,6.0,Oktober,4.0625,1.9375
Der Junge wurde vor benotet und bewertet.,F,participant_5,4.0,Oktober,4.0625,-0.0625
Am Strand liegen viele Urlauber in der Sonne.,F,participant_5,6.0,Oktober,4.0625,1.9375
Am Strand liegen viele Urlauber in der Sonne.,F,participant_5,5.0,Oktober,4.0625,0.9375
Wie hat die Polizei welchen Fall gelöst?,F,participant_5,4.0,Oktober,4.0625,-0.0625
"Im Wald glaubt sie, hat der Jäger den Förster gesehen.",F,participant_5,7.0,Oktober,4.0625,2.9375
Der Anwalt setzt sich für die Gleich- und Freiheit aller Menschen ein.,H 1.4,participant_5,2.0,Oktober,4.0625,-2.0625
Das ist die Besonder- und Verrücktheit ihrer Herangehensweise.,H 1'.5,participant_5,2.0,Oktober,4.0625,-2.0625
Das Hotel bietet Gelegen- und Abgeschiedenheit zum Entspannen.,H 4.2,participant_5,6.0,Oktober,4.0625,1.9375
Die Tat wurde mit Verlogen- und Trunkenheit begangen.,H 4'.3,participant_5,1.0,Oktober,4.0625,-3.0625
Er ist immer wieder in finanzielle Schwierig- und Abhängigkeiten geraten.,K 2.6,participant_5,7.0,Oktober,4.0625,2.9375
Die Zeit danach war von Traurig- und Einsamkeit geprägt.,K 2'.7,participant_5,3.0,Oktober,4.0625,-1.0625
Das ist seine Art von Öffentlich- und Wohltätigkeit.,K 5.4,participant_5,5.0,Oktober,4.0625,0.9375
Der Autounfall ist auf Unzurechnungsfähig- und Fahrlässigkeit zurückzuführen.,K 5'.1,participant_5,6.0,Oktober,4.0625,1.9375
Die Passkontrolle am Flughafen ist üb- und polizeilich.,L 2.6,participant_5,1.0,Oktober,4.0625,-3.0625
Der Chef war dienst- und beruflich in Singapur.,L 2'.7,participant_5,3.0,Oktober,4.0625,-1.0625
Das war schließ- und augenblicklich das Ende.,L 5.4,participant_5,3.0,Oktober,4.0625,-1.0625
Die Neuigkeiten sind für sie gleichzeitig bedroh- und erfreulich.,L 5'.1,participant_5,4.0,Oktober,4.0625,-0.0625
Sie ist voller kindischer Verliebt- und Fröhlichkeit.,Mis 3.8,participant_5,7.0,Oktober,4.0625,2.9375
Die Geisterbahn ist voller Grausam- und Dunkelheit.,Mis 3'.1,participant_5,2.0,Oktober,4.0625,-2.0625
Für Kinder sind Geborgen- und Unabhängigkeit wichtig.,Mis 6.2,participant_5,6.0,Oktober,4.0625,1.9375
Die Autorin wirkte sehr sympathisch durch ihre Liebenswürdig- und Bescheidenheit.,Mis 6'.3,participant_5,7.0,Oktober,4.0625,2.9375
Für die Gesundheit ist Ruhe wichtig vor allem nächt- und abendlich.,Mix 3.8,participant_5,2.0,Oktober,4.0625,-2.0625
Er hat freund- und höflich abgesagt.,Mix 3'.1,participant_5,3.0,Oktober,4.0625,-1.0625
Mutproben sind gefähr- und schrecklich.,Mix 6.2,participant_5,2.0,Oktober,4.0625,-2.0625
Sie hat aber wirk- und tatsächlich mehr verlangt.,Mix 6'.3,participant_5,2.0,Oktober,4.0625,-2.0625
Sie ist eher so der häus- und ängstliche Typ.,U 1.4,participant_5,2.0,Oktober,4.0625,-2.0625
Die beiden behandeln den Welpen väter- und mütterlich.,U 1'.5,participant_5,4.0,Oktober,4.0625,-0.0625
Sie fördert und fordert ihn nachdrück- und zärtlich.,U 4.2,participant_5,6.0,Oktober,4.0625,1.9375
Schottergärten sind häss- und grässlich.,U 4'.3,participant_5,6.0,Oktober,4.0625,1.9375
Nudeln sind der neue Reis.,Deutsch_test_2,participant_5,3.0,Oktober,4.0625,-1.0625
Reis ist die neuen Nudeln.,Deutsch_test_3,participant_5,3.0,Oktober,4.0625,-1.0625
Der Kaiser hat dem Fürsten den berühmten und begabten Maler empfohlen.,F,participant_6,6.0,Februar,3.03125,2.96875
"Im Einkaufszentrum meint sie, hat der Ladenbesitzer den eleganten und gut geführten Laden geschlossen.",F,participant_6,6.0,Februar,3.03125,2.96875
Die Bergführer haben einander ihn als kompetenten und zuverlässigen Begleiter empfohlen.,F,participant_6,4.0,Februar,3.03125,0.96875
Beim Stammtisch die drei Freunde spielen mit Vorliebe Skat und Würfeln.,F,participant_6,1.0,Februar,3.03125,-2.03125
Die Suppe wurde gegen versalzen.,F,participant_6,1.0,Februar,3.03125,-2.03125
Der Patient hat den geldgierigen und unprofessionellen Zahnarzt überlistet.,F,participant_6,6.0,Februar,3.03125,2.96875
Das ist die Verrückt- und Besonderheit ihrer Herangehensweise.,H 1.5,participant_6,1.0,Februar,3.03125,-2.03125
Die Klar- und Einfachheit der Lösung erstaunte alle.,H 1'.1,participant_6,3.0,Februar,3.03125,-0.03125
Eigenschaften wie Lüstern- und Verderbtheit sind absolut unpassend.,H 4.6,participant_6,5.0,Februar,3.03125,1.96875
Der Richter vermittelt mit Rechtschaffen- und Besonnenheit.,H 4'.7,participant_6,6.0,Februar,3.03125,2.96875
Fachleute waren sich uneinig über die Möglich- und Wahrscheinlichkeit eines Wahlsieges.,K 2.2,participant_6,3.0,Februar,3.03125,-0.03125
Den Redakteur würde ein Mangel an Aufrichtig- und Aufmerksamkeit am meisten stören.,K 2'.3,participant_6,3.0,Februar,3.03125,-0.03125
Für eine Sekunde war der Zauber von Unsterblich- und Unendlichkeit zu spüren.,K 5.8,participant_6,2.0,Februar,3.03125,-1.03125
Der Autounfall ist auf Unzurechnungsfähig- und Fahrlässigkeit zurückzuführen.,K 5'.1,participant_6,3.0,Februar,3.03125,-0.03125
Die Landschaft dort ist fried- und herrlich.,L 2.2,participant_6,4.0,Februar,3.03125,0.96875
Das Lachen ist herz- und kindlich.,L 2'.3,participant_6,2.0,Februar,3.03125,-1.03125
Selbst für erfahrene Rettungskräfte war der Anblick entsetz- und sonderlich.,L 5.8,participant_6,3.0,Februar,3.03125,-0.03125
Die Neuigkeiten sind für sie gleichzeitig bedroh- und erfreulich.,L 5'.1,participant_6,2.0,Februar,3.03125,-1.03125
Der Papst erfreut sich großer Berühmt- und Herrlichkeit.,Mis 3.4,participant_6,5.0,Februar,3.03125,1.96875
Die Welthungerhilfe betont die Notwendig- und Knappheit von Lebensmitteln.,Mis 3'.5,participant_6,2.0,Februar,3.03125,-1.03125
Für Kinder sind Geborgen- und Unabhängigkeit wichtig.,Mis 6.2,participant_6,5.0,Februar,3.03125,1.96875
Die Autorin wirkte sehr sympathisch durch ihre Liebenswürdig- und Bescheidenheit.,Mis 6'.3,participant_6,2.0,Februar,3.03125,-1.03125
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,Mix 3.4,participant_6,1.0,Februar,3.03125,-2.03125
Im Kindergarten wird alles schwester- und brüderlich geteilt.,Mix 3'.5,participant_6,6.0,Februar,3.03125,2.96875
Mutproben sind gefähr- und schrecklich.,Mix 6.2,participant_6,1.0,Februar,3.03125,-2.03125
Sie hat aber wirk- und tatsächlich mehr verlangt.,Mix 6'.3,participant_6,1.0,Februar,3.03125,-2.03125
Sie ist eher so der häus- und ängstliche Typ.,U 1.4,participant_6,1.0,Februar,3.03125,-2.03125
Die Lieder sind fröh- und tröstlich.,U 1'.1,participant_6,2.0,Februar,3.03125,-1.03125
Die Bank will buchstäb- und zusätzlich hundert tausend Euro.,U 4.6,participant_6,1.0,Februar,3.03125,-2.03125
Eine Zeitung ist ein auf die Gegenwart alltäg- und bezügliches Medium.,U 4'.7,participant_6,3.0,Februar,3.03125,-0.03125
Nudeln sind der neue Reis.,Deutsch_test_2,participant_6,5.0,Februar,3.03125,1.96875
Reis ist die neuen Nudeln.,Deutsch_test_3,participant_6,1.0,Februar,3.03125,-2.03125
Auf allen Konzerten spielt die Band fehlerfrei.,F,participant_7,5.0,Juli,3.903225806,1.096774194
Wo hat die Feuerwehr welches Haus gelöscht?,F,participant_7,6.0,Juli,3.903225806,2.096774194
Du hast der Frau sich selbst als Beraterin vorgeschlagen.,F,participant_7,4.0,Juli,3.903225806,0.09677419399999998
Der Lehrer hat den Schülern es nachgetragen.,F,participant_7,5.0,Juli,3.903225806,1.096774194
"Die Firma sagt er, dass die Bestellung vergessen oder verloren hat.",F,participant_7,1.0,Juli,3.903225806,-2.903225806
Die Gruppe wurde hinter beschuldigt.,F,participant_7,2.0,Juli,3.903225806,-1.903225806
Allen war die Dumm- und Feigheit ihrer Entscheidung klar.,H 1.7,participant_7,6.0,Juli,3.903225806,2.096774194
Viele streben innere Zufrieden- und Gelassenheit an.,H 1'.8,participant_7,7.0,Juli,3.903225806,3.096774194
Sie strahlen Vergangen- und Erhabenheit aus.,H 4.1,participant_7,6.0,Juli,3.903225806,2.096774194
Das Hotel bietet Abgeschieden- und Gelegenheit zum Entspannen.,H 4'.2,participant_7,2.0,Juli,3.903225806,-1.903225806
Das Hotel erfüllte ihre Erwartungen und überzeugte vor allem durch Sauber- und Gemütlichkeit.,K 2.1,participant_7,5.0,Juli,3.903225806,1.096774194
Fachleute waren sich uneinig über die Wahrscheinlich- und Möglichkeit eines Wahlsieges.,K 2'.2,participant_7,5.0,Juli,3.903225806,1.096774194
Die Erkenntnis über seine Eitel- und Gleichgültigkeit kam aber zu spät.,K 5.3,participant_7,6.0,Juli,3.903225806,2.096774194
Das ist seine Art von Wohltätig- und Öffentlichkeit.,K 5'.4,participant_7,4.0,Juli,3.903225806,0.09677419399999998
Die Probleme sind vor allem zeit- und rechtlicher Natur.,L 2.1,participant_7,5.0,Juli,3.903225806,1.096774194
Die Landschaft dort ist herr- und friedlich.,L 2'.2,participant_7,2.0,Juli,3.903225806,-1.903225806
weil er nied- und behilflich ist.,L 5.3,participant_7,3.0,Juli,3.903225806,-0.903225806
Das war augenblick- und schließlich das Ende.,L 5'.4,participant_7,3.0,Juli,3.903225806,-0.903225806
Das Verhalten ist an Gemein- und Hässlichkeit nicht zu übertreffen.,Mis 3.3,participant_7,5.0,Juli,3.903225806,1.096774194
Der Papst erfreut sich großer Herrlich- und Berühmtheit.,Mis 3'.4,participant_7,4.0,Juli,3.903225806,0.09677419399999998
Sie schwören einander Kühn- und Brüderlichkeit.,Mis 6.5,participant_7,1.0,Juli,3.903225806,-2.903225806
Die Oma hat viel Zärtlich- und Weisheit für ihre Enkel.,Mis 6'.6,participant_7,1.0,Juli,3.903225806,-2.903225806
Bischöfe bestimmten die gött- und weltliche Ordnung.,Mix 3.3,participant_7,5.0,Juli,3.903225806,1.096774194
Oft ist mit dem mensch- und männlichen Körper ein und das Selbe gemeint.,Mix 3'.4,participant_7,6.0,Juli,3.903225806,2.096774194
Ihre Worte waren ähn- und deutlich.,Mix 6.5,participant_7,1.0,Juli,3.903225806,-2.903225806
Die Arbeitsleistung ist ordent- und gewöhnlich.,Mix 6'.6,participant_7,2.0,Juli,3.903225806,-1.903225806
In der Gegend ist es länd- und eigentümlich.,U 1.7,participant_7,4.0,Juli,3.903225806,0.09677419399999998
In diesem Zustand ist die Deutsche Bahn leider weder nütz- noch pünktlich.,U 1'.8,participant_7,6.0,Juli,3.903225806,2.096774194
Es schmeckt köst- und vorzüglich.,U 4.1,participant_7,2.0,Juli,3.903225806,-1.903225806
Sie fördert und fordert ihn zärt- und nachdrücklich.,U 4'.2,participant_7,3.0,Juli,3.903225806,-0.903225806
Nudeln sind der neue Reis.,Deutsch_test_2,participant_7,4.0,Juli,3.903225806,0.09677419399999998
Die Mutter hat dem Sohn es verboten.,F,participant_8,1.0,April,2.875,-1.875
"Der Chemiker meint er, dass den Pharmakonzern belogen hat.",F,participant_8,1.0,April,2.875,-1.875
Die Sitzung wurde aus vertagt.,F,participant_8,1.0,April,2.875,-1.875
Auf dem Markt verkaufen viele Bauern Obst und Gemüse.,F,participant_8,7.0,April,2.875,4.125
Was hat der Verkäufer welchem Kunden geraten?,F,participant_8,5.0,April,2.875,2.125
"In der Elbe glaubt sie, hat der Fischer das kleine und flinke Boot versenkt.",F,participant_8,3.0,April,2.875,0.125
Ihr Auftreten strahlt Gewiss- und Sicherheit aus.,H 1.2,participant_8,5.0,April,2.875,2.125
Der Diamant ist von seltener Rein- und Schönheit.,H 1'.3,participant_8,3.0,April,2.875,0.125
Die Gesamt- und Allgemeinheit der Regeln spricht dafür.,H 4.4,participant_8,5.0,April,2.875,2.125
"Er glaubt, dass die Staatsanwälte zu viel Verschwiegen- und Befangenheit an den Tag legen.",H 4'.5,participant_8,7.0,April,2.875,4.125
Sie legt viel wert auf Höflich- und Pünktlichkeit.,K 2.4,participant_8,7.0,April,2.875,4.125
Das Hotel erfüllte ihre Erwartungen und überzeugte vor allem durch Gemütlich- und Sauberkeit.,K 2'.1,participant_8,7.0,April,2.875,4.125
Die Ordensleute erzählen immer von Momenten der Glückselig- und Barmherzigkeit.,K 5.6,participant_8,7.0,April,2.875,4.125
Die Unfähig- und Feindseligkeit der Angestellten ist alles andere als guter Service.,K 5'.7,participant_8,3.0,April,2.875,0.125
