condition,ex1_order,question,variable,value,month,Mittelwert von value,Rating_in_relation_to_mean,frequency,ex1_umlaut,item,first,second
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_156,2.0,September,2.03125,-0.03125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_159,1.0,Mai,2.0,-1.0,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_160,4.0,September,2.9375,1.0625,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_165,4.0,Mai,4.03125,-0.03125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_166,1.0,Mai,2.78125,-1.78125,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3.1,umlaut first,Er hat höf- und freundlich abgesagt.,participant_169,2.0,September,3.59375,-1.59375,simple,umlaut mix,"Der Minister kommt nicht zur Buchmesse nach Leipzig.
Er hat höf- und freundlich abgesagt.",höf,freundlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_1,1.0,September,2.866666667,-1.866666667,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_16,5.0,Mai,2.78125,2.21875,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_17,2.0,Mai,2.9375,-0.9375,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_26,1.0,September,2.90625,-1.90625,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_27,3.0,Mai,3.96875,-0.96875,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_31,1.0,September,3.5,-2.5,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_33,3.0,Mai,3.46875,-0.46875,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_35,3.0,September,4.03125,-1.03125,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_36,2.0,September,3.53125,-1.53125,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_40,3.0,September,4.03125,-1.03125,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_44,5.0,September,3.40625,1.59375,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_47,1.0,September,1.8125,-0.8125,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_52,6.0,Mai,4.28125,1.71875,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_56,3.0,Mai,4.90625,-1.90625,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_61,5.0,Mai,4.451612903,0.548387097,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_64,2.0,Mai,3.25,-1.25,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_66,2.0,Mai,2.875,-0.875,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_69,4.0,Mai,2.59375,1.40625,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_78,2.0,Mai,2.28125,-0.28125,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_93,1.0,September,1.935483871,-0.935483871,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_96,2.0,Mai,2.53125,-0.53125,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_103,1.0,Mai,1.34375,-0.34375,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_104,3.0,Mai,3.125,-0.125,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_107,1.0,Mai,2.25,-1.25,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_114,2.0,September,2.1875,-0.1875,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_115,1.0,September,1.75,-0.75,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_121,5.0,September,3.516129032,1.4838709680000002,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_125,1.0,September,3.3125,-2.3125,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_134,6.0,September,4.15625,1.84375,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_146,1.0,Mai,3.4375,-2.4375,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_151,3.0,Mai,4.3125,-1.3125,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_156,2.0,September,2.03125,-0.03125,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_159,1.0,Mai,2.0,-1.0,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_160,1.0,September,2.9375,-1.9375,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_165,5.0,Mai,4.03125,0.96875,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_166,1.0,Mai,2.78125,-1.78125,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3'.2,umlaut second,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,participant_169,3.0,September,3.59375,-0.59375,simple,umlaut mix,Die Bezahlung vieler Berufe ist leid- und kümmerlich.,leid,kümmerlich
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_2,2.0,Juni,2.633333333,-0.6333333329999999,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_4,3.0,Februar,3.65625,-0.65625,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_6,1.0,Februar,3.03125,-2.03125,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_11,4.0,Februar,4.71875,-0.71875,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_13,2.0,Februar,2.35483871,-0.3548387100000001,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_21,5.0,Februar,3.8125,1.1875,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_22,3.0,Februar,2.71875,0.28125,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_30,5.0,Februar,3.0625,1.9375,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_50,3.0,Juni,3.0625,-0.0625,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_54,1.0,Juni,2.8125,-1.8125,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_57,4.0,Februar,3.59375,0.40625,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_60,3.0,Juni,2.71875,0.28125,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_62,7.0,Februar,3.875,3.125,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_70,2.0,Februar,2.71875,-0.71875,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_74,3.0,Juni,3.3125,-0.3125,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_84,6.0,Februar,3.96875,2.03125,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_85,7.0,Februar,4.0,3.0,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_86,2.0,Februar,4.0,-2.0,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_88,3.0,Februar,2.09375,0.90625,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_101,1.0,Juni,1.1875,-0.1875,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_105,3.0,Februar,3.75,-0.75,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_110,1.0,Februar,1.78125,-0.78125,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_116,5.0,Juni,3.75,1.25,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_123,6.0,Juni,3.84375,2.15625,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_132,1.0,Februar,1.9375,-0.9375,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_133,6.0,Februar,4.15625,1.84375,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_138,1.0,Juni,2.34375,-1.34375,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_143,3.0,Februar,2.1875,0.8125,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_145,4.0,Februar,4.15625,-0.15625,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_147,3.0,Juni,4.84375,-1.84375,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_155,1.0,Februar,3.21875,-2.21875,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_167,3.0,Februar,3.8125,-0.8125,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
Mix 3.4,umlaut first,Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.,participant_168,3.0,Februar,4.03125,-1.03125,simple,umlaut mix,"Die medizinische Forschung basiert auf dem männlichen Körper.
Oft ist mit dem männ- und menschlichen Körper ein und das Selbe gemeint.",männ,menschlichen
